2025-03-21 02:35:39 startup archives install
2025-03-21 02:35:39 install libudev1:amd64 <none> 256.5-2ubuntu3
2025-03-21 02:35:39 status half-installed libudev1:amd64 256.5-2ubuntu3
2025-03-21 02:35:39 status unpacked libudev1:amd64 256.5-2ubuntu3
2025-03-21 02:35:39 install hostname:amd64 <none> 3.23+nmu2ubuntu2
2025-03-21 02:35:39 status half-installed hostname:amd64 3.23+nmu2ubuntu2
2025-03-21 02:35:39 status unpacked hostname:amd64 3.23+nmu2ubuntu2
2025-03-21 02:35:39 install libattr1:amd64 <none> 1:2.5.2-1build2
2025-03-21 02:35:39 status half-installed libattr1:amd64 1:2.5.2-1build2
2025-03-21 02:35:39 status unpacked libattr1:amd64 1:2.5.2-1build2
2025-03-21 02:35:39 install libpam0g:amd64 <none> 1.5.3-7ubuntu2
2025-03-21 02:35:39 status half-installed libpam0g:amd64 1.5.3-7ubuntu2
2025-03-21 02:35:39 status unpacked libpam0g:amd64 1.5.3-7ubuntu2
2025-03-21 02:35:39 install tar:amd64 <none> 1.35+dfsg-3build1
2025-03-21 02:35:39 status half-installed tar:amd64 1.35+dfsg-3build1
2025-03-21 02:35:39 status unpacked tar:amd64 1.35+dfsg-3build1
2025-03-21 02:35:39 install util-linux:amd64 <none> 2.40.2-1ubuntu1
2025-03-21 02:35:39 status half-installed util-linux:amd64 2.40.2-1ubuntu1
2025-03-21 02:35:39 status unpacked util-linux:amd64 2.40.2-1ubuntu1
2025-03-21 02:35:39 install libaudit-common:all <none> 1:4.0.1-1ubuntu2
2025-03-21 02:35:39 status half-installed libaudit-common:all 1:4.0.1-1ubuntu2
2025-03-21 02:35:39 status unpacked libaudit-common:all 1:4.0.1-1ubuntu2
2025-03-21 02:35:39 install libc6:amd64 <none> 2.40-1ubuntu3
2025-03-21 02:35:39 status half-installed libc6:amd64 2.40-1ubuntu3
2025-03-21 02:35:39 status unpacked libc6:amd64 2.40-1ubuntu3
2025-03-21 02:35:39 install dpkg:amd64 <none> 1.22.11ubuntu1
2025-03-21 02:35:39 status half-installed dpkg:amd64 1.22.11ubuntu1
2025-03-21 02:35:40 status unpacked dpkg:amd64 1.22.11ubuntu1
2025-03-21 02:35:40 install gzip:amd64 <none> 1.12-1.1ubuntu1
2025-03-21 02:35:40 status half-installed gzip:amd64 1.12-1.1ubuntu1
2025-03-21 02:35:40 status unpacked gzip:amd64 1.12-1.1ubuntu1
2025-03-21 02:35:40 install debianutils:amd64 <none> 5.20
2025-03-21 02:35:40 status half-installed debianutils:amd64 5.20
2025-03-21 02:35:40 status unpacked debianutils:amd64 5.20
2025-03-21 02:35:40 install liblzma5:amd64 <none> 5.6.2-2
2025-03-21 02:35:40 status half-installed liblzma5:amd64 5.6.2-2
2025-03-21 02:35:40 status unpacked liblzma5:amd64 5.6.2-2
2025-03-21 02:35:40 install libzstd1:amd64 <none> 1.5.6+dfsg-1
2025-03-21 02:35:40 status half-installed libzstd1:amd64 1.5.6+dfsg-1
2025-03-21 02:35:40 status unpacked libzstd1:amd64 1.5.6+dfsg-1
2025-03-21 02:35:40 install perl-base:amd64 <none> 5.38.2-5
2025-03-21 02:35:40 status half-installed perl-base:amd64 5.38.2-5
2025-03-21 02:35:40 status unpacked perl-base:amd64 5.38.2-5
2025-03-21 02:35:40 install libgmp10:amd64 <none> 2:6.3.0+dfsg-2ubuntu7
2025-03-21 02:35:40 status half-installed libgmp10:amd64 2:6.3.0+dfsg-2ubuntu7
2025-03-21 02:35:40 status unpacked libgmp10:amd64 2:6.3.0+dfsg-2ubuntu7
2025-03-21 02:35:40 install libselinux1:amd64 <none> 3.5-2ubuntu5
2025-03-21 02:35:40 status half-installed libselinux1:amd64 3.5-2ubuntu5
2025-03-21 02:35:40 status unpacked libselinux1:amd64 3.5-2ubuntu5
2025-03-21 02:35:40 install libaudit1:amd64 <none> 1:4.0.1-1ubuntu2
2025-03-21 02:35:40 status half-installed libaudit1:amd64 1:4.0.1-1ubuntu2
2025-03-21 02:35:40 status unpacked libaudit1:amd64 1:4.0.1-1ubuntu2
2025-03-21 02:35:40 install bash:amd64 <none> 5.2.32-1ubuntu1
2025-03-21 02:35:40 status half-installed bash:amd64 5.2.32-1ubuntu1
2025-03-21 02:35:40 status unpacked bash:amd64 5.2.32-1ubuntu1
2025-03-21 02:35:40 install libmd0:amd64 <none> 1.1.0-2build2
2025-03-21 02:35:40 status half-installed libmd0:amd64 1.1.0-2build2
2025-03-21 02:35:40 status unpacked libmd0:amd64 1.1.0-2build2
2025-03-21 02:35:40 install libbz2-1.0:amd64 <none> 1.0.8-6
2025-03-21 02:35:40 status half-installed libbz2-1.0:amd64 1.0.8-6
2025-03-21 02:35:40 status unpacked libbz2-1.0:amd64 1.0.8-6
2025-03-21 02:35:40 install sed:amd64 <none> 4.9-2build1
2025-03-21 02:35:40 status half-installed sed:amd64 4.9-2build1
2025-03-21 02:35:41 status unpacked sed:amd64 4.9-2build1
2025-03-21 02:35:41 install libcrypt1:amd64 <none> 1:4.4.36-4build1
2025-03-21 02:35:41 status half-installed libcrypt1:amd64 1:4.4.36-4build1
2025-03-21 02:35:41 status unpacked libcrypt1:amd64 1:4.4.36-4build1
2025-03-21 02:35:41 install bsdutils:amd64 <none> 1:2.40.2-1ubuntu1
2025-03-21 02:35:41 status half-installed bsdutils:amd64 1:2.40.2-1ubuntu1
2025-03-21 02:35:41 status unpacked bsdutils:amd64 1:2.40.2-1ubuntu1
2025-03-21 02:35:41 install mawk:amd64 <none> 1.3.4.20240622-2
2025-03-21 02:35:41 status half-installed mawk:amd64 1.3.4.20240622-2
2025-03-21 02:35:42 status unpacked mawk:amd64 1.3.4.20240622-2
2025-03-21 02:35:42 install libsystemd0:amd64 <none> 256.5-2ubuntu3
2025-03-21 02:35:42 status half-installed libsystemd0:amd64 256.5-2ubuntu3
